CATEGORY,DESCRIPTION,AMOUNT,TYPE,DATE
healthcare,Vitamins/Supplements,360,expense,1671342703216
transportation,Parking Fee,20,expense,1673926692168
personal,Tattoo/Piercing,372,expense,1677798142238
clothing,Dry Cleaning,370,expense,1670551382790
personal,Tattoo/Piercing,310,expense,1669013316440
personal,Cosmetics,962,income,1694977656487
entertainment,Movie Tickets,654,income,1694343942847
healthcare,Prescription Medication,396,expense,1680233647225
education,Educational Software,48,expense,1683030356980
food,Restaurant,734,income,1670465879932
freelance,Client Payment,812,income,1683204566117
salary,Year-End Bonus,984,income,1681931652193
income,Royalties,164,expense,1688002765361
miscellaneous,Shipping Costs,460,expense,1669918433458
utilities,Internet,546,income,1675350021251
investment,Selling Investments,170,expense,1691044937437
investment,Peer-to-Peer Lending,888,income,1675133387091
income,Rent Income,240,expense,1679842574885
housing,Home Insurance,334,expense,1666326104473
housing,Apartment Deposit,392,expense,1681015994435
education,Educational Software,344,expense,1695173637157
healthcare,Medical Supplies,394,expense,1688947924672
clothing,Sportswear,166,expense,1687944338299
utilities,Heating Oil,626,income,1666904717709
clothing,Laundry Service,532,income,1691601091871
personal,Personal Care Products,742,income,1684216530181
education,Educational Software,144,expense,1671955741448
transportation,Taxi Fare,22,expense,1680986475553
education,Educational Seminars,62,expense,1692947601164
gift,Surprise Gift,556,income,1675454750979
freelance,Consulting Invoice,232,expense,1669894982024
utilities,Internet,624,income,1677469830561
education,Student Loan Payment,488,expense,1683009347134
miscellaneous,Stamps/Postage,182,expense,1694181535680
salary,Year-End Bonus,68,expense,1687755247656
freelance,Online Freelancing,668,income,1667814914337
salary,Year-End Bonus,828,income,1668702807194
income,Freelance Income,452,expense,1686967846828
healthcare,Eye Exam,884,income,1686635275871
transportation,Train Ticket,754,income,1687361535553
entertainment,Streaming Services,952,income,1684837103166
transportation,Gasoline,652,income,1678029932950
salary,Annual Bonus,526,income,1690802702239
rent,House Rent,166,expense,1678996610960
savings,Investment Account Deposit,532,income,1688565699639
education,Online Courses,42,expense,1691947579524
personal,Toiletries,776,income,1697058110546
investment,Interest on Investments,250,expense,1668787888200
savings,Savings Account Interest,458,expense,1690457968287
salary,Year-End Bonus,810,income,1694362134712
clothing,Clothing Store,340,expense,1690668966227
savings,High-Yield Savings Account Interest,796,income,1666201771994
gift,Wedding Gift,610,income,1666355454542
income,Business Income,452,expense,1688130088451
salary,Year-End Bonus,930,income,1691436932383
income,Stock Dividends,834,income,1675015215993
housing,Apartment Deposit,48,expense,1680034005371
personal,Massage,770,income,1684252596479
education,Workshops,218,expense,1670908959166
education,Tuition,230,expense,1667151580717
personal,Laundry Detergent,110,expense,1669691232522
income,Consulting Fees,922,income,1696993887528
education,School Supplies,102,expense,1694107991549
clothing,Shoes,340,expense,1682374292584
freelance,Contract Work,362,expense,1673132376116
income,Royalties,592,income,1669919287103
personal,Gym Membership,204,expense,1696026641865
healthcare,Medical Tests,82,expense,1678674255058
healthcare,Emergency Room,744,income,1696301656440
salary,Holiday Pay,350,expense,1676104697111
salary,Overtime Pay,940,income,1671882852595
investment,Real Estate Income,524,income,1668752611419
salary,Commissions,654,income,1666468995210
income,Business Income,208,expense,1685332062399
income,Investment Income,418,expense,1689751387344
income,Royalties,882,income,1671383610110
education,Educational Software,200,expense,1695001224544
healthcare,Therapist Session,214,expense,1696720778741
income,Interest Income,58,expense,1671228902411
entertainment,Video Games,614,income,1671652377418
investment,Real Estate Income,374,expense,1673897263748
gift,Graduation Gift,672,income,1670283135519
savings,Retirement Fund Contribution,502,income,1676116128634
entertainment,Video Games,698,income,1676910829055
healthcare,Therapist Session,690,income,1682584807238
housing,Rent,156,expense,1693090184755
investment,Capital Gains,944,income,1686790444096
investment,Stock Dividends,700,income,1668219372024
entertainment,Movie Tickets,844,income,1686661485703
personal,Spa Day,814,income,1684850768073
housing,Apartment Deposit,556,income,1672361049233
investment,Royalty Income,706,income,1681153471138
gift,Surprise Gift,722,income,1689235896714
rent,Room Rental,48,expense,1690624426287
freelance,Web Design Project,194,expense,1683834331303
investment,Real Estate Income,578,income,1668902882399
